SPM (Spatial Population Model)
Call: spm -m -g 0 
Date: Thu Nov 19 15:36:51 2015
v1.1-2015-11-19 (rev. 1270). Copyright (c) 2008-2015, NIWA
User name: dunn
Machine name: NIWA-34286 (Windows_NT, PID=5832)

[MCMC]
report.type: MCMC
Original covariance matrix:
1.16837e-009 -2.13186 8.24457e-006 6.38904e-006
-2.13186 4.28776e+009 -12428.3 -11631.5
8.24457e-006 -12428.3 0.131091 0.0662034
6.38904e-006 -11631.5 0.0662034 0.0890384
Proposal distribution covariance matrix:
1e-010 -0.589329 2.412e-006 1.86915e-006
-0.623688 4.28776e+009 -12428.3 -11631.5
2.412e-006 -12428.3 0.131091 0.0662034
1.86915e-006 -11631.5 0.0662034 0.0890384
Cholesky decomposition matrix:
1e-005 0 0 0
-62368.8 19947.2 0 0
0.2412 0.131102 0.236063 0
0.186915 0.00131526 0.0887348 0.215001
MCMC objective function values:
iteration score penalty prior likelihood acceptance_rate acceptance_rate_since_adapt stepsize
57000 280.287 0 0 280.287 0.367947 0.393 0.502632
58000 279.316 0 0 279.316 0.367517 0.38675 0.502632
59000 280.7 0 0 280.7 0.367542 0.384778 0.502632
60000 280.79 0 0 280.79 0.368133 0.3866 0.502632
61000 280.193 0 0 287.554 0.368148 0.369 0.485794
62000 280.458 0 0 280.657 0.369516 0.411 0.485794
63000 280.149 0 0 280.329 0.371968 0.448667 0.485794
64000 280.51 0 0 280.51 0.374672 0.47275 0.485794
65000 280.198 0 0 334.57 0.375462 0.4634 0.485794
66000 281.216 0 0 282.707 0.376621 0.4615 0.485794
67000 280.048 0 0 280.048 0.37806 0.463143 0.485794
68000 280.984 0 0 283.319 0.378971 0.46025 0.485794
69000 281.619 0 0 281.619 0.380826 0.465444 0.485794
70000 279.553 0 0 279.553 0.3828 0.4708 0.485794
71000 281.587 0 0 292.653 0.382056 0.33 0.571779
72000 279.771 0 0 279.771 0.381167 0.324 0.571779
73000 279.69 0 0 324.596 0.379767 0.309 0.571779
74000 280.999 0 0 287.544 0.378703 0.307 0.571779
75000 284.683 0 0 304.551 0.377907 0.3094 0.571779
76000 280.274 0 0 280.363 0.377092 0.3105 0.571779
77000 280.29 0 0 282.064 0.376896 0.317857 0.571779
78000 279.916 0 0 281.696 0.376064 0.317125 0.571779
79000 279.902 0 0 284.875 0.375266 0.316667 0.571779
80000 280.553 0 0 283.531 0.374563 0.3169 0.571779
81000 284.27 0 0 284.27 0.376494 0.531 0.452992
82000 282.495 0 0 282.495 0.378732 0.5455 0.452992
83000 279.941 0 0 288.027 0.380783 0.546667 0.452992
84000 282.924 0 0 282.924 0.382893 0.5495 0.452992
85000 280.976 0 0 282.602 0.383671 0.5294 0.452992
86000 280.216 0 0 280.806 0.382744 0.491833 0.452992
87000 281.911 0 0 283.09 0.382161 0.469 0.452992
88000 280.662 0 0 281.221 0.381568 0.451625 0.452992
89000 281.814 0 0 281.814 0.382843 0.456444 0.452992
90000 282.1 0 0 282.1 0.384589 0.4648 0.452992
91000 283.119 0 0 283.119 0.385637 0.48 0.526377
92000 281.648 0 0 281.648 0.386543 0.4745 0.526377
93000 280.423 0 0 280.423 0.38686 0.455 0.526377
94000 279.976 0 0 281.386 0.386734 0.435 0.526377
95000 281.054 0 0 282.888 0.387232 0.4348 0.526377
96000 282.188 0 0 284.504 0.387771 0.4355 0.526377
97000 281.962 0 0 283.948 0.387216 0.421 0.526377
98000 280.233 0 0 280.233 0.385898 0.400625 0.526377
99000 282.154 0 0 293.345 0.384394 0.382444 0.526377
100000 284.532 0 0 298.647 0.38293 0.368 0.526377
101000 280.452 0 0 285.851 0.382099 0.299 0.484267
