[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q process[BHrecruitment].r0 selectivity[FishingSel].a50 selectivity[FishingSel].ato95
0.000106073 445296 8.88348 3.77432
0.00010703 400486 8.32551 3.19646
0.000108836 419587 8.6869 3.75568
9.45802e-005 418607 8.15426 2.67982
9.99526e-005 387511 8.42476 3.72065
0.00011876 383444 8.66462 3.48694
0.000134432 360852 8.59611 2.86335
0.000126779 376755 8.35256 3.11117
0.000114041 394683 8.68487 3.82602
9.92961e-005 405059 8.44498 3.39889
9.49572e-005 432129 7.77408 2.40182
9.38977e-005 447439 8.12195 3.21533
0.000104025 475466 8.65448 2.75244
0.000106122 403833 8.93816 3.93022
0.000110381 424530 8.51421 3.36668
9.77576e-005 473845 9.16227 3.52433
0.000109001 446532 9.10349 3.36201
0.000101742 443357 7.78642 2.39887
0.000105674 379432 7.96534 3.31132
0.000137426 355962 9.31106 3.53777
0.000138559 308853 8.35835 3.69088
0.000117289 363084 8.18133 2.66102
9.88192e-005 428005 8.3956 3.11315
7.93817e-005 445141 8.12141 3.2456
9.32732e-005 465142 8.79578 4.33621
8.85494e-005 466086 8.29068 3.12354
0.000116062 400683 9.06192 3.47272
0.000125719 311396 8.69192 3.0695
0.000137058 338207 9.1028 3.85337
0.000164935 290173 8.81216 3.34854
0.000199499 272077 8.64583 3.75219
0.000171818 275096 8.5793 3.12141
0.000127202 360774 8.84618 3.51414
0.000172227 272202 8.95495 3.7573
0.000206283 254727 8.98063 3.52495
0.000201327 246876 8.62583 2.72889
0.000225649 237549 9.43938 5.18451
0.00016451 305840 9.07028 3.79732
0.000172305 279985 9.16213 3.93766
0.000188953 261191 8.52218 3.04901
0.000165005 282452 8.64175 3.33888
0.000201726 259601 9.585 4.36216
0.000198939 271293 8.93149 3.82923
0.000160484 308614 9.25263 3.55778
0.000182171 268025 8.41431 2.71263
0.000184946 272629 8.23626 3.27744
0.000191792 282051 9.25592 3.89282
0.000142557 376248 8.65231 3.0353
0.000104707 391677 8.28742 2.93605
0.00011094 425264 9.08171 3.95005
9.99732e-005 475540 9.7267 4.21031
0.000107758 397436 8.18193 3.37235
0.00011086 410136 8.28307 2.57952
0.00012535 371957 9.11625 3.66963
0.000154753 319822 9.14408 3.21259
0.000120476 382558 8.99095 3.78139
0.000113485 391736 8.75435 3.2763
0.000106304 391176 8.1323 3.0642
0.000121436 338933 8.49861 3.5226
9.09517e-005 425181 8.24062 2.66446
0.00012031 353564 8.36898 3.49958
0.000101413 401032 8.70429 3.20795
0.000125898 372545 8.20662 2.671
0.000110525 370215 7.23322 2.21026
0.000116306 365373 8.28166 2.98019
0.000106097 346820 7.08 2.36909
8.10954e-005 431040 7.87549 2.80557
0.000100875 491450 8.31764 3.23564
6.62806e-005 596507 8.56503 3.78046
6.27291e-005 648294 7.98688 3.4946
5.74606e-005 683236 8.53002 3.03624
5.55077e-005 713122 8.59837 2.61192
5.19159e-005 671012 8.07415 2.5334
5.69572e-005 645217 8.3972 2.88528
6.1458e-005 662402 8.54164 3.40469
6.36753e-005 709537 8.69379 3.12972
6.30119e-005 645564 8.37797 3.16657
6.28932e-005 666436 7.96059 3.18508
5.69224e-005 718456 9.11783 3.81194
6.63798e-005 664097 8.8176 3.5483
7.73523e-005 553452 8.04953 3.28118
7.91833e-005 504743 7.94794 3.25646
7.88163e-005 497637 8.9465 4.5704
8.74868e-005 461797 7.75614 2.73394
8.91588e-005 480316 8.22542 2.59178
8.17286e-005 491418 8.75587 3.76798
9.25239e-005 468498 8.88815 3.71837
0.000108811 462652 9.51995 3.88805
9.53548e-005 478175 8.96624 3.27138
8.77943e-005 523248 8.6775 3.29906
7.68218e-005 547556 8.41814 2.98767
7.69264e-005 538047 8.96192 3.83746
8.72401e-005 467325 8.38161 3.20686
9.68931e-005 447633 8.5015 4.0004
0.000100061 402625 8.34478 3.55738
9.75387e-005 457813 9.22162 3.71128
8.82029e-005 469052 8.5614 2.88496
8.33117e-005 502212 8.60741 3.64646
7.94016e-005 541124 8.34588 2.94654
8.41732e-005 508997 8.74448 3.25431
7.64047e-005 530694 8.23847 3.56221
6.99366e-005 517684 8.54223 3.74985
9.41739e-005 461165 8.79322 3.94033
8.52281e-005 466704 8.36727 2.59775
0.000108293 470554 8.9078 3.51454
7.98528e-005 507615 8.68186 2.98402
9.10475e-005 457302 8.3112 3.49421
9.07766e-005 508497 8.61318 3.43075
0.000117451 422867 9.0173 3.9445
0.000116591 367441 8.43092 3.79692
0.000129241 328084 8.74437 3.69176
0.000153015 298443 9.09925 3.88477
0.000192369 257044 8.68275 3.35734
0.00021802 238572 8.4889 3.1012
0.000185136 272174 9.13954 3.72291
0.000159399 330190 9.68666 4.29856
0.000172274 277716 8.46921 3.40199
0.0001251 326135 7.9 2.98488
0.000123059 361633 9.24184 4.36912
0.000174171 287829 8.4731 2.93818
0.000142696 301700 8.34939 3.49804
0.000158506 335895 9.55291 4.15986
0.000143641 309922 9.05112 3.44839
0.000172235 298229 8.18041 2.67973
0.00017398 307273 8.87173 3.76208
0.0001794 253613 8.11008 2.89122
0.000147367 323510 9.11029 3.9734
0.000142231 321811 8.13156 2.76017
0.000176204 278141 8.54432 2.85833
0.000182142 300627 9.62453 4.26935
0.000167931 291969 9.0756 3.70417
0.000170952 288308 9.00167 3.57997
0.000157104 320902 8.80598 3.46514
0.000160141 297866 8.6257 3.16337
0.000124337 319137 8.02665 2.92028
0.000159991 316849 9.23842 4.14344
0.000165758 311886 9.97189 4.949
0.000186242 274527 8.80731 3.04472
0.000148926 302629 8.11669 3.17592
0.000118721 370267 8.71825 3.40388
0.000127744 385875 9.23332 3.91619
8.54893e-005 463335 8.19453 2.86697
0.000103064 427373 8.42101 3.30418
0.00010472 419712 8.69814 3.14124
9.53594e-005 426266 8.22043 3.02273
0.000104278 432909 7.69849 1.97369
0.000119996 396261 8.59163 3.58299
0.00011339 418404 9.04955 4.45543
0.000109397 459011 9.13901 4.41134
0.000114246 394520 9.05308 3.35263
0.000131476 365931 8.84508 3.82246
0.000141088 341403 8.66651 3.69222
0.000181102 311219 9.79775 4.22221
0.000168641 280462 8.22475 2.67995
0.000162301 283435 9.00124 4.21323
0.000178299 282924 8.8676 3.43278
0.000120175 356891 8.6187 2.6445
0.000111798 378834 8.1717 3.503
0.000128506 406061 9.3126 3.67933
9.57362e-005 465275 8.42489 3.45884
9.49872e-005 444922 7.85221 2.37489
8.81206e-005 458139 8.2456 3.06024
0.000127953 353179 8.61324 3.25926
0.00012679 395168 8.66428 3.31055
0.00015183 330137 8.44884 3.0521
0.000187083 257514 8.95139 3.88677
0.000149481 310677 8.7254 3.21772
0.000122283 367920 8.70554 2.79877
0.000141662 336397 8.42794 3.20353
0.000143291 322192 8.74491 3.12207
0.000123481 411470 9.27522 3.8182
0.000124356 348481 8.85608 3.58015
0.000143634 287980 8.76683 3.93497
0.000214762 257363 9.51699 3.8711
0.000205491 270079 9.33354 4.19819
0.000215182 255737 9.46644 4.01039
0.000159691 317747 9.21501 3.5375
0.000118882 403792 9.5188 4.61931
0.000103872 418175 8.60307 3.338
0.000105658 480596 8.76758 3.21175
9.81786e-005 411707 8.28265 3.19686
0.000112779 367917 8.23438 2.89569
0.000111808 405009 8.3873 3.07699
0.000149953 305437 8.3534 3.41151
0.000205696 275834 9.13757 3.65002
0.000168766 266789 8.83062 4.07617
0.000172647 274870 8.98637 4.9219
0.000131892 326323 8.99986 3.66236
0.000198454 254993 8.43694 3.02952
0.000149264 334410 9.41242 3.9309
0.000164406 297892 9.12824 3.65411
0.000159134 291552 8.27667 3.03737
0.000155817 362352 9.30286 4.2026
0.000148609 328714 7.9941 2.9726
0.000110911 398619 8.71893 3.38339
0.000123333 337870 8.55587 3.4029
0.000110269 416743 8.96562 3.97544
0.000269844 226454 8.98666 3.43794
0.000152316 316335 9.03014 4.08702
0.000124662 330394 8.80457 3.49316
0.00018792 283955 9.65543 4.14424
0.00020018 256303 8.68736 2.91122
0.000174912 288826 9.093 3.64831
0.000208509 252513 8.81 3.30259
0.00017049 294684 8.59659 3.03592
0.000129939 347741 8.72187 3.2282
0.000248047 243565 9.1751 3.42882
0.000148571 305330 8.74302 3.34712
0.000120823 429820 9.53665 3.70167
0.000110391 425501 8.89839 3.83877
0.0001211 360684 8.19409 2.87652
9.12437e-005 440311 8.39682 3.20688
8.43222e-005 485897 8.15507 3.30728
7.32842e-005 504175 8.25365 3.14741
0.000104057 446836 8.54444 2.99523
0.000113526 336847 8.23022 3.3663
0.000131495 388426 8.85375 2.91901
0.000130154 335181 8.73186 3.24599
0.000134384 287860 7.58771 2.70102
0.000139993 356682 8.9096 3.23093
0.000141108 319949 8.42238 4.20072
0.000169055 310953 9.00756 3.6314
0.000132219 332289 8.18902 2.43402
0.000118337 402288 8.95216 3.16936
0.000136593 323880 9.19986 3.7803
0.000143789 311429 8.70267 3.26548
0.00018099 306872 9.41793 3.54035
0.000134426 354040 8.42553 3.40352
0.000117979 368749 8.82115 3.73084
0.000130241 407054 9.64123 4.13986
0.000104999 404336 8.22131 2.61616
0.000116062 374541 8.40117 3.32995
0.000149343 374023 9.25139 3.63714
0.000132818 344677 8.31976 2.83409
0.000143711 332904 8.84379 3.79971
0.000121704 386645 8.81097 3.92687
0.000108944 400129 8.68166 3.00611
0.000111934 405330 8.57423 3.21194
