[MCMC_objectives]
report.type: MCMC_objectives
Original covariance matrix:
1.44463e-009 -2.70643 5.46701e-006 2.68154e-006
-2.70643 5.55369e+009 -3958.16 -1056.6
5.46701e-006 -3958.16 0.207128 0.152459
2.68154e-006 -1056.6 0.152459 0.231983
Proposal distribution covariance matrix:
1e-006 -59.6185 0.000143837 7.05514e-005
-71.2064 5.55369e+009 -3958.16 -1056.6
0.000143837 -3958.16 0.207128 0.152459
7.05514e-005 -1056.6 0.152459 0.231983
Cholesky decomposition matrix:
0.001 0 0 0
-71206.4 21985.1 0 0
0.143837 0.285828 0.323638 0
0.0705514 0.180446 0.280359 0.340358
MCMC objective function values:
iteration score penalty prior likelihood acceptance_rate acceptance_rate_since_adapt step_size
39000 282.436 0 0 282.436 0.125665 0.216216 0.0319092
39500 280.408 0 0 280.408 0.1265 0.218235 0.0319092
40000 283.233 0 0 283.233 0.127462 0.221749 0.0319092
40500 280.096 0 0 280.096 0.128404 0.314268 0.0294827
41000 280.603 0 0 280.603 0.129385 0.326264 0.0294827
41500 282.375 0 0 282.375 0.130383 0.335345 0.0294827
42000 280.067 0 0 280.067 0.131379 0.340832 0.0294827
42500 279.852 0 0 279.852 0.132338 0.341111 0.0294827
43000 279.924 0 0 279.924 0.133206 0.333741 0.0294827
43500 284.491 0 0 284.491 0.134179 0.337382 0.0294827
44000 279.55 0 0 279.55 0.13515 0.340541 0.0294827
44500 282.022 0 0 282.022 0.136011 0.336801 0.0294827
45000 280.87 0 0 280.87 0.136791 0.330011 0.0294827
45500 280.336 0 0 280.336 0.137653 0.328908 0.0294827
46000 279.835 0 0 279.835 0.138476 0.326637 0.0294827
46500 280.43 0 0 280.43 0.139384 0.328432 0.0294827
47000 282.121 0 0 282.121 0.14025 0.328669 0.0294827
47500 280.258 0 0 280.258 0.141197 0.332005 0.0294827
48000 282.735 0 0 282.735 0.142071 0.332765 0.0294827
48500 281.966 0 0 281.966 0.143038 0.33662 0.0294827
49000 284.627 0 0 284.627 0.143988 0.339802 0.0294827
49500 281.066 0 0 281.066 0.144955 0.343382 0.0294827
50000 281.354 0 0 281.354 0.145884 0.345793 0.0294827
50500 281.973 0 0 281.973 0.146642 0.30525 0.0424788
51000 279.513 0 0 279.513 0.147326 0.291206 0.0424788
51500 280.805 0 0 280.805 0.147977 0.283607 0.0424788
52000 283.636 0 0 283.636 0.148634 0.281136 0.0424788
52500 283.911 0 0 283.911 0.149411 0.289285 0.0424788
53000 281.034 0 0 281.034 0.150227 0.298151 0.0424788
53500 282.496 0 0 282.496 0.150926 0.298126 0.0424788
54000 281.716 0 0 281.716 0.151585 0.296362 0.0424788
54500 279.627 0 0 279.627 0.152216 0.293983 0.0424788
55000 280.404 0 0 280.404 0.152721 0.287422 0.0424788
55500 279.75 0 0 279.75 0.153044 0.276354 0.0424788
56000 283.936 0 0 283.936 0.153292 0.265757 0.0424788
56500 281.469 0 0 281.469 0.1534 0.254115 0.0424788
57000 281.081 0 0 281.081 0.153476 0.244277 0.0424788
57500 280.905 0 0 280.905 0.153568 0.236675 0.0424788
58000 282.849 0 0 282.849 0.153438 0.226847 0.0424788
58500 281.293 0 0 281.293 0.15336 0.219536 0.0424788
59000 284.729 0 0 284.729 0.153477 0.21591 0.0424788
59500 280.245 0 0 280.245 0.153624 0.213143 0.0424788
60000 280.823 0 0 280.823 0.153784 0.210886 0.0424788
60500 280.107 0 0 280.107 0.153955 0.209022 0.0424788
61000 281.137 0 0 281.137 0.153982 0.205942 0.0424788
61500 282.949 0 0 282.949 0.154257 0.205552 0.0424788
62000 284.797 0 0 284.797 0.154439 0.204374 0.0424788
62500 282.647 0 0 282.647 0.154559 0.202794 0.0424788
63000 283.259 0 0 283.259 0.154714 0.201657 0.0424788
63500 282.655 0 0 282.655 0.154812 0.200184 0.0424788
64000 281.287 0 0 281.287 0.154951 0.199155 0.0424788
64500 282.158 0 0 282.158 0.155196 0.198998 0.0424788
65000 280.313 0 0 280.313 0.15531 0.197944 0.0424788
65500 281.422 0 0 281.422 0.155439 0.197076 0.0424788
66000 282.909 0 0 282.909 0.15566 0.196894 0.0424788
66500 281.46 0 0 281.46 0.155809 0.196272 0.0424788
67000 280.541 0 0 280.541 0.156001 0.195972 0.0424788
67500 280.691 0 0 280.691 0.156208 0.195795 0.0424788
68000 280.91 0 0 280.91 0.156591 0.196691 0.0424788
68500 281.1 0 0 281.1 0.156993 0.197679 0.0424788
69000 280.223 0 0 280.223 0.157366 0.198475 0.0424788
69500 282.126 0 0 282.126 0.157631 0.198643 0.0424788
70000 280.155 0 0 280.155 0.157951 0.19913 0.0424788
70500 281.194 0 0 281.194 0.15818 0.199114 0.0424788
71000 279.858 0 0 279.858 0.158434 0.199245 0.0424788
71500 279.967 0 0 279.967 0.158612 0.198987 0.0424788
72000 283.361 0 0 283.361 0.158774 0.198671 0.0424788
72500 281.061 0 0 281.061 0.159018 0.198791 0.0424788
73000 279.513 0 0 279.513 0.159298 0.199093 0.0424788
73500 280.563 0 0 280.563 0.159591 0.199469 0.0424788
74000 281.326 0 0 281.326 0.159989 0.200346 0.0424788
74500 280.224 0 0 280.224 0.160432 0.201426 0.0424788
75000 279.879 0 0 279.879 0.160859 0.202416 0.0424788
75500 280.626 0 0 280.626 0.161271 0.203322 0.0424788
76000 281.616 0 0 281.616 0.161674 0.204173 0.0424788
76500 281.749 0 0 281.749 0.162074 0.204999 0.0424788
77000 280.846 0 0 280.846 0.162542 0.20613 0.0424788
77500 280.513 0 0 280.513 0.162999 0.207195 0.0424788
78000 279.91 0 0 279.91 0.163474 0.208332 0.0424788
78500 280.775 0 0 280.775 0.163885 0.209165 0.0424788
79000 280.935 0 0 280.935 0.16438 0.210366 0.0424788
79500 280.584 0 0 280.584 0.164836 0.211377 0.0424788
80000 279.498 0 0 279.498 0.165133 0.211687 0.0424788
80500 284.213 0 0 284.213 0.165482 0.249875 0.0374675
81000 279.839 0 0 279.839 0.165897 0.263366 0.0374675
81500 280.093 0 0 280.093 0.166276 0.263481 0.0374675
82000 281.072 0 0 281.072 0.166696 0.268276 0.0374675
82500 282.079 0 0 282.079 0.167096 0.269687 0.0374675
83000 283.671 0 0 283.671 0.167394 0.26362 0.0374675
83500 281.471 0 0 281.471 0.167561 0.252361 0.0374675
84000 282.589 0 0 282.589 0.167865 0.250847 0.0374675
84500 283.144 0 0 283.144 0.168248 0.253122 0.0374675
85000 281.865 0 0 281.865 0.168602 0.253936 0.0374675
85500 283.111 0 0 283.111 0.168978 0.255517 0.0374675
86000 282.2 0 0 282.2 0.169339 0.25641 0.0374675
86500 281.501 0 0 281.501 0.169794 0.260177 0.0374675
87000 283.772 0 0 283.772 0.170301 0.265111 0.0374675
87500 279.754 0 0 279.754 0.170808 0.269658 0.0374675
88000 279.775 0 0 279.775 0.171188 0.270289 0.0374675
88500 281.408 0 0 281.408 0.171544 0.270305 0.0374675
89000 287.097 0 0 287.097 0.172003 0.272934 0.0374675
89500 280.509 0 0 280.509 0.172404 0.273988 0.0374675
90000 280.884 0 0 280.884 0.172745 0.27365 0.0374675
90500 280.076 0 0 280.076 0.173003 0.23663 0.0427208
91000 280.686 0 0 280.686 0.173334 0.250063 0.0427208
91500 284.162 0 0 284.162 0.173718 0.262421 0.0427208
92000 282.275 0 0 282.275 0.174181 0.278358 0.0427208
92500 280.135 0 0 280.135 0.174565 0.281278 0.0427208
93000 280.229 0 0 280.229 0.174769 0.269518 0.0427208
93500 282.566 0 0 282.566 0.174873 0.255979 0.0427208
94000 282.517 0 0 282.517 0.175019 0.248694 0.0427208
94500 281.253 0 0 281.253 0.174936 0.234387 0.0427208
95000 282.1 0 0 282.1 0.175001 0.228791 0.0427208
95500 281.749 0 0 281.749 0.175084 0.224921 0.0427208
96000 280.62 0 0 280.62 0.175167 0.22182 0.0427208
96500 280.415 0 0 280.415 0.175086 0.215532 0.0427208
97000 280.853 0 0 280.853 0.175219 0.214777 0.0427208
97500 280.397 0 0 280.397 0.175246 0.212098 0.0427208
98000 282.393 0 0 282.393 0.175457 0.213106 0.0427208
98500 279.95 0 0 279.95 0.175685 0.214306 0.0427208
99000 280.963 0 0 280.963 0.176003 0.216909 0.0427208
99500 282.321 0 0 282.321 0.176349 0.21979 0.0427208
100000 281.668 0 0 281.668 0.176598 0.220955 0.0427208
100500 279.748 0 0 279.748 0.176827 0.238892 0.0393308
101000 280.9 0 0 280.9 0.17711 0.249377 0.0393308
101500 280.011 0 0 280.011 0.177387 0.252695 0.0393308
102000 280.151 0 0 280.151 0.177568 0.244828 0.0393308
102500 284.188 0 0 284.188 0.177669 0.234588 0.0393308
103000 281.441 0 0 281.441 0.177702 0.2245 0.0393308
103500 281.542 0 0 281.542 0.177666 0.214763 0.0393308
104000 281.062 0 0 281.062 0.177669 0.209424 0.0393308
104500 283.705 0 0 283.705 0.17767 0.205376 0.0393308
105000 281.231 0 0 281.231 0.17766 0.201947 0.0393308
105500 280.423 0 0 280.423 0.177765 0.202042 0.0393308
106000 280.457 0 0 280.457 0.177796 0.200468 0.0393308
106500 280.995 0 0 280.995 0.177921 0.201095 0.0393308
107000 279.958 0 0 279.958 0.178051 0.201758 0.0393308
107500 280.627 0 0 280.627 0.178245 0.20355 0.0393308
108000 283.037 0 0 283.037 0.178512 0.206484 0.0393308
108500 280.411 0 0 280.411 0.178752 0.208707 0.0393308
109000 281.968 0 0 281.968 0.179062 0.211919 0.0393308
109500 280.144 0 0 280.144 0.179398 0.215346 0.0393308
110000 281.419 0 0 281.419 0.179759 0.218953 0.0393308
110500 283.485 0 0 283.485 0.18012 0.222354 0.0393308
111000 281.937 0 0 281.937 0.180507 0.225989 0.0393308
111500 282.703 0 0 282.703 0.180797 0.227926 0.0393308
112000 282.022 0 0 282.022 0.181069 0.229481 0.0393308
112500 280.566 0 0 280.566 0.181346 0.231045 0.0393308
113000 280.304 0 0 280.304 0.181532 0.231226 0.0393308
113500 280.436 0 0 280.436 0.181719 0.231434 0.0393308
114000 279.895 0 0 279.895 0.181904 0.231612 0.0393308
114500 281.768 0 0 281.768 0.182063 0.231467 0.0393308
115000 279.673 0 0 279.673 0.182306 0.232374 0.0393308
115500 280.839 0 0 280.839 0.182567 0.233479 0.0393308
116000 279.888 0 0 279.888 0.182773 0.233887 0.0393308
116500 280.057 0 0 280.057 0.182918 0.233582 0.0393308
117000 281.296 0 0 281.296 0.183066 0.233334 0.0393308
117500 281.905 0 0 281.905 0.183315 0.23422 0.0393308
118000 279.792 0 0 279.792 0.183547 0.234901 0.0393308
118500 280.771 0 0 280.771 0.183696 0.234685 0.0393308
119000 279.593 0 0 279.593 0.18381 0.234131 0.0393308
119500 281.457 0 0 281.457 0.183985 0.234234 0.0393308
120000 281.777 0 0 281.777 0.184108 0.233825 0.0393308
120500 279.929 0 0 279.929 0.184254 0.233671 0.0393308
121000 280.326 0 0 280.326 0.184402 0.233546 0.0393308
121500 280.132 0 0 280.132 0.184517 0.233141 0.0393308
122000 283.396 0 0 283.396 0.184648 0.232908 0.0393308
122500 280.351 0 0 280.351 0.1847 0.232007 0.0393308
123000 279.669 0 0 279.669 0.18485 0.231979 0.0393308
123500 282.016 0 0 282.016 0.185013 0.232067 0.0393308
124000 280.319 0 0 280.319 0.185254 0.232802 0.0393308
124500 280.533 0 0 280.533 0.185526 0.233763 0.0393308
125000 282.763 0 0 282.763 0.18583 0.234967 0.0393308
125500 281.363 0 0 281.363 0.186204 0.236692 0.0393308
126000 282.997 0 0 282.997 0.186508 0.237843 0.0393308
126500 281.024 0 0 281.024 0.186825 0.23907 0.0393308
127000 281.933 0 0 281.933 0.187126 0.240154 0.0393308
127500 281.849 0 0 281.849 0.187381 0.24086 0.0393308
128000 281.281 0 0 281.281 0.187632 0.241529 0.0393308
128500 280.489 0 0 280.489 0.18784 0.241864 0.0393308
129000 282.563 0 0 282.563 0.187977 0.241673 0.0393308
129500 280.693 0 0 280.693 0.188005 0.240708 0.0393308
130000 279.726 0 0 279.726 0.188065 0.240012 0.0393308
130500 280.905 0 0 280.905 0.188212 0.239952 0.0393308
131000 282.957 0 0 282.957 0.188419 0.240306 0.0393308
131500 280.388 0 0 280.388 0.188632 0.240704 0.0393308
132000 280.61 0 0 280.61 0.188806 0.240831 0.0393308
132500 282.003 0 0 282.003 0.188838 0.240028 0.0393308
133000 280.496 0 0 280.496 0.188879 0.239313 0.0393308
133500 280.975 0 0 280.975 0.189037 0.239368 0.0393308
134000 280.837 0 0 280.837 0.189245 0.239746 0.0393308
134500 279.598 0 0 279.598 0.189484 0.240311 0.0393308
135000 280.176 0 0 280.176 0.189724 0.240878 0.0393308
135500 281.513 0 0 281.513 0.18991 0.241105 0.0393308
136000 281.914 0 0 281.914 0.189978 0.240618 0.0393308
136500 281.41 0 0 281.41 0.189943 0.239536 0.0393308
137000 280.691 0 0 280.691 0.189902 0.238453 0.0393308
137500 283.725 0 0 283.725 0.18989 0.237573 0.0393308
138000 280.218 0 0 280.218 0.189977 0.237285 0.0393308
138500 282.018 0 0 282.018 0.190061 0.23699 0.0393308
139000 280.482 0 0 280.482 0.190273 0.23741 0.0393308
139500 281.39 0 0 281.39 0.190481 0.237813 0.0393308
140000 282.185 0 0 282.185 0.190725 0.2384 0.0393308
140500 281.971 0 0 281.971 0.190936 0.238808 0.0393308
141000 282.919 0 0 282.919 0.191035 0.238615 0.0393308
141500 279.963 0 0 279.963 0.191243 0.239002 0.0393308
142000 280.732 0 0 280.732 0.191347 0.23884 0.0393308
142500 284.669 0 0 284.669 0.191484 0.238857 0.0393308
143000 283.911 0 0 283.911 0.19158 0.23867 0.0393308
143500 279.645 0 0 279.645 0.191713 0.238675 0.0393308
144000 279.563 0 0 279.563 0.191896 0.238938 0.0393308
144500 281.683 0 0 281.683 0.191966 0.23863 0.0393308
145000 279.937 0 0 279.937 0.19205 0.238406 0.0393308
145500 279.549 0 0 279.549 0.192158 0.238306 0.0393308
146000 283.131 0 0 283.131 0.192232 0.238047 0.0393308
146500 281.041 0 0 281.041 0.192285 0.237692 0.0393308
147000 279.69 0 0 279.69 0.192348 0.237398 0.0393308
147500 282.941 0 0 282.941 0.192362 0.236878 0.0393308
148000 280.593 0 0 280.593 0.1924 0.236486 0.0393308
148500 280.175 0 0 280.175 0.192404 0.235945 0.0393308
149000 281.383 0 0 281.383 0.192414 0.235448 0.0393308
149500 282.779 0 0 282.779 0.19242 0.234945 0.0393308
150000 279.606 0 0 279.606 0.192526 0.234898 0.0393308
150500 281.089 0 0 281.089 0.192643 0.234907 0.0393308
151000 281.644 0 0 281.644 0.192761 0.234921 0.0393308
151500 282.461 0 0 282.461 0.192881 0.234946 0.0393308
152000 280.332 0 0 280.332 0.193041 0.235145 0.0393308
152500 280.118 0 0 280.118 0.193269 0.235638 0.0393308
153000 280.441 0 0 280.441 0.193562 0.236412 0.0393308
153500 280.378 0 0 280.378 0.193772 0.236821 0.0393308
154000 280.056 0 0 280.056 0.193961 0.237135 0.0393308
154500 280.913 0 0 280.913 0.194138 0.237403 0.0393308
155000 281.461 0 0 281.461 0.19423 0.237307 0.0393308
155500 281.174 0 0 281.174 0.194397 0.237535 0.0393308
156000 280.684 0 0 280.684 0.194553 0.237711 0.0393308
156500 280.51 0 0 280.51 0.194721 0.237941 0.0393308
157000 280.19 0 0 280.19 0.194907 0.238239 0.0393308
157500 280.492 0 0 280.492 0.195102 0.238579 0.0393308
158000 281.643 0 0 281.643 0.195357 0.239158 0.0393308
158500 281.749 0 0 281.749 0.19555 0.239482 0.0393308
159000 280.333 0 0 280.333 0.195773 0.239928 0.0393308
159500 284.93 0 0 284.93 0.196022 0.240475 0.0393308
