SPM (Spatial Population Model)
Call: spm -m -q -g 0 
Date: Thu Nov 19 22:42:33 2015
v1.1-2015-11-19 (rev. 1272). Copyright (c) 2008-2015, NIWA
User name: dunn
Machine name: NIWA-34286 (Windows_NT, PID=6480)

[MCMC]
report.type: MCMC
Original covariance matrix:
1.4961e-009 -2.82829 6.40938e-006 3.33788e-006
-2.82829 5.83449e+009 -6405.04 -3098.07
6.40938e-006 -6405.04 0.211802 0.158556
3.33788e-006 -3098.07 0.158556 0.24515
Proposal distribution covariance matrix:
1e-006 -61.1071 0.000165705 8.6296e-005
-73.1213 5.83449e+009 -6405.04 -3098.07
0.000165705 -6405.04 0.211802 0.158556
8.6296e-005 -3098.07 0.158556 0.24515
Cholesky decomposition matrix:
0.001 0 0 0
-73121.3 22085.5 0 0
0.165705 0.258609 0.342732 0
0.086296 0.145435 0.311163 0.346019
MCMC objective function values:
iteration score penalty prior likelihood acceptance_rate acceptance_rate_since_adapt stepsize
45000 281.09 0 0 286.665 0.234333 0.2346 0.0507887
45500 283.67 0 0 283.67 0.235099 0.240909 0.0507887
46000 286.111 0 0 298.198 0.2355 0.2435 0.0507887
46500 282.683 0 0 839.218 0.236473 0.249846 0.0507887
47000 281 0 0 281 0.237234 0.254 0.0507887
47500 282.428 0 0 322.913 0.238063 0.258133 0.0507887
48000 279.879 0 0 308.919 0.238333 0.2585 0.0507887
48500 280.024 0 0 439.876 0.238 0.255412 0.0507887
49000 280.038 0 0 309.465 0.237878 0.253778 0.0507887
49500 281.423 0 0 432.493 0.237919 0.253158 0.0507887
50000 281.341 0 0 281.341 0.23746 0.2501 0.0507887
50500 284.127 0 0 284.127 0.237089 0.2 0.052926
51000 284.75 0 0 298.693 0.236471 0.187 0.052926
51500 283.894 0 0 643.125 0.236039 0.188667 0.052926
52000 279.938 0 0 279.938 0.235462 0.1855 0.052926
52500 279.693 0 0 279.693 0.234705 0.1796 0.052926
53000 279.685 0 0 279.685 0.234113 0.178333 0.052926
53500 279.818 0 0 281.404 0.233551 0.177714 0.052926
54000 281.364 0 0 281.364 0.232907 0.176 0.052926
54500 281.401 0 0 318.046 0.232422 0.176444 0.052926
55000 281.612 0 0 290.562 0.232018 0.1776 0.052926
55500 282.769 0 0 285.45 0.23173 0.179636 0.052926
56000 281.259 0 0 293.801 0.231214 0.179167 0.052926
56500 281.607 0 0 368.061 0.230956 0.180923 0.052926
57000 281.863 0 0 283.584 0.230702 0.182429 0.052926
57500 283.77 0 0 318.858 0.230209 0.181867 0.052926
58000 281.331 0 0 311.211 0.229741 0.1815 0.052926
58500 280.288 0 0 286.787 0.229692 0.184 0.052926
59000 279.557 0 0 294.488 0.229424 0.184778 0.052926
59500 279.447 0 0 283.073 0.229025 0.184632 0.052926
60000 281.389 0 0 282.122 0.228433 0.1833 0.052926
60500 282.325 0 0 406.868 0.228 0.182952 0.052926
61000 280.947 0 0 280.947 0.227689 0.183273 0.052926
61500 282.54 0 0 287.723 0.227122 0.182174 0.052926
62000 284.168 0 0 558.75 0.226371 0.180167 0.052926
62500 281.292 0 0 308.769 0.225568 0.178 0.052926
63000 280.273 0 0 426.295 0.225063 0.177385 0.052926
63500 282.75 0 0 1166.81 0.224079 0.174519 0.052926
64000 283.216 0 0 289.423 0.223266 0.172571 0.052926
64500 281.738 0 0 283.872 0.222589 0.17131 0.052926
65000 280.899 0 0 302.711 0.221892 0.17 0.052926
65500 280.529 0 0 289.933 0.22116 0.168581 0.052926
66000 280.474 0 0 331.837 0.220788 0.168687 0.052926
66500 281.102 0 0 288.577 0.21985 0.166485 0.052926
67000 280.635 0 0 280.635 0.219224 0.165588 0.052926
67500 281.128 0 0 283.055 0.218459 0.164171 0.052926
68000 281.023 0 0 289.324 0.217765 0.163056 0.052926
68500 280.185 0 0 287.784 0.217299 0.162811 0.052926
69000 280.337 0 0 280.337 0.216855 0.162632 0.052926
69500 281.22 0 0 281.22 0.216417 0.162462 0.052926
70000 280.754 0 0 300.473 0.216 0.16235 0.052926
70500 280.709 0 0 280.825 0.215901 0.163317 0.052926
71000 281.172 0 0 289.416 0.215563 0.163429 0.052926
71500 280.151 0 0 572.766 0.215147 0.163256 0.052926
72000 279.969 0 0 304.409 0.214889 0.163591 0.052926
72500 280.35 0 0 280.35 0.214731 0.164222 0.052926
73000 280.535 0 0 298.536 0.214671 0.16513 0.052926
73500 280.208 0 0 340.944 0.21419 0.164681 0.052926
74000 280.62 0 0 315.253 0.213919 0.164875 0.052926
74500 280.024 0 0 280.39 0.213597 0.164898 0.052926
