catchability[CPUEq].q process[BHrecruitment].r0
1.1493e-005 100000
7.38555e-006 147368
5.83635e-006 194737
4.68457e-006 242105
3.91207e-006 289474
3.35778e-006 336842
2.94135e-006 384211
2.61675e-006 431579
2.35644e-006 478947
2.14374e-006 526316
1.96616e-006 573684
1.81558e-006 621053
1.68681e-006 668421
1.57464e-006 715789
1.47657e-006 763158
1.39003e-006 810526
1.31309e-006 857895
1.24424e-006 905263
1.18227e-006 952632
1.12628e-006 1e+006
