catchability[CPUEq].q process[BHrecruitment].r0
1.07349e-005 100000
7.74197e-006 147368
5.83644e-006 194737
4.68368e-006 242105
3.91141e-006 289474
3.2873e-006 336842
2.88692e-006 384211
2.57351e-006 431579
2.32145e-006 478947
2.14348e-006 526316
1.96605e-006 573684
1.7943e-006 621053
1.66836e-006 668421
1.55841e-006 715789
1.46226e-006 763158
1.37757e-006 810526
1.30166e-006 857895
1.23405e-006 905263
1.17285e-006 952632
1.11776e-006 1e+006
