SPM (Spatial Population Model)
Call: spm -p -q -g 0 -o profile.dat 
Date: Sun Aug 19 08:57:15 2018
v1.1-2018-05-31 (rev. 1291). Copyright (c) 2008-2018, NIWA
User name: Admin
Machine name: DELL9070 (Windows_NT, PID=7804)

[mature-2002]
report.type: observation
observation.label: mature-2002
observation.year: 2002
observation.time_step: one
observation.min_age: 1
observation.max_age: 30
observation.age_plus_group: true
area age observed expected residual errorvalue processerror totalerror score
r2-c5 28 0 0.61267 -0.61267 0.0142878 0 0.0142878 0.0135516
r2-c5 29 1 0.661971 0.338029 0.484269 0 0.484269 0.199777
r2-c5 30 1 1 0 0.257411 0 0.257411 -0
r2-c6 1 0 0 0 0 0 0 -0
r2-c6 2 0 0 0 0 0 0 -0
r2-c6 3 0 0 0 0 0 0 -0
r2-c6 4 0 0 0 0 0 0 -0
r2-c6 5 0 0.0759774 -0.0759774 0 0 0 -0
r2-c6 6 0 0.0395936 -0.0395936 0 0 0 -0
r2-c6 7 0 0.0409109 -0.0409109 0.00333314 0 0.00333314 0.00013923
r2-c6 8 0 0.049753 -0.049753 0.432825 0 0.432825 0.0220885
r2-c6 9 0 0.0616268 -0.0616268 1.24284 0 1.24284 0.079054
r2-c6 10 0 0.0760937 -0.0760937 0.363773 0 0.363773 0.0287907
r2-c6 11 0.0344476 0.0932835 -0.0588359 0.16864 0 0.16864 0.0283364
r2-c6 12 0.594731 0.113397 0.481334 0.653605 0 0.653605 0.762306
r2-c6 13 0.629751 0.136608 0.493143 0.436933 0 0.436933 0.515689
r2-c6 14 0.802547 0.163024 0.639523 1.06932 0 1.06932 1.42157
r2-c6 15 0.749249 0.192665 0.556583 0.375158 0 0.375158 0.448689
r2-c6 16 0.859811 0.225468 0.634343 0.79191 0 0.79191 0.961871
r2-c6 17 0.879404 0.261318 0.618086 0.785481 0 0.785481 0.885521
r2-c6 18 0.911397 0.300109 0.611289 0.987167 0 0.987167 1.03593
r2-c6 19 0.978703 0.341765 0.636937 0.255735 0 0.255735 0.269094
r2-c6 20 0.938333 0.386212 0.552122 0.315498 0 0.315498 0.283385
r2-c6 21 0.715363 0.433281 0.282082 0.482785 0 0.482785 0.308721
r2-c6 22 1 0.482611 0.517389 1.69542 0 1.69542 1.23519
r2-c6 23 0.955894 0.533566 0.422327 0.335988 0 0.335988 0.20671
r2-c6 24 0.970814 0.585221 0.385592 0.24444 0 0.24444 0.131043
r2-c6 25 0.933224 0.636426 0.296799 0.330748 0 0.330748 0.152724
r2-c6 26 1 0.685931 0.314069 0.00332352 0 0.00332352 0.00125289
r2-c6 27 0.934433 0.732558 0.201875 0.245391 0 0.245391 0.087411
r2-c6 28 1 0.775341 0.224659 1.22096 0 1.22096 0.310677
r2-c6 29 0.906131 0.813631 0.0925007 0.156413 0 0.156413 0.0508205
r2-c6 30 0.358744 1 -0.641256 0.169442 0 0.169442 2.81772
r3-c5 1 0 0 0 0 0 0 -0
r3-c5 2 0 0 0 0 0 0 -0
r3-c5 3 0 0 0 0 0 0 -0
r3-c5 4 0 0 0 0 0 0 -0
r3-c5 5 0 0.0759774 -0.0759774 0 0 0 -0
r3-c5 6 0 0.0560218 -0.0560218 0 0 0 -0
r3-c5 7 0 0.0575738 -0.0575738 0.00890669 0 0.00890669 0.000528146
r3-c5 8 0 0.0697349 -0.0697349 0.873439 0 0.873439 0.0631371
r3-c5 9 0.468095 0.0865277 0.381567 0.42942 0 0.42942 0.454835
r3-c5 10 0.533314 0.107189 0.426125 0.308082 0 0.308082 0.351412
r3-c5 11 0.426382 0.131949 0.294433 0.985585 0 0.985585 0.700061
